year,quarter,date_range,court_type,crown_court_centre,local_criminal_justice_board,region,yearquarter,offence_type,variable_type,value
2015,Q1,Jan-Mar 2015,Crown,Bolton,Greater Manchester,North West,2015Q1,Robbery,Receipts,13
2015,Q1,Jan-Mar 2015,Crown,Manchester Crown Sq,Greater Manchester,North West,2015Q1,Robbery,Receipts,34
2015,Q1,Jan-Mar 2015,Crown,Manchester Minshull St,Greater Manchester,North West,2015Q1,Robbery,Receipts,33
2015,Q1,Jan-Mar 2015,Crown,Burnley,Lancashire,North West,2015Q1,Robbery,Receipts,7
2015,Q1,Jan-Mar 2015,Crown,Preston,Lancashire,North West,2015Q1,Robbery,Receipts,27
2015,Q1,Jan-Mar 2015,Crown,Liverpool,Merseyside,North West,2015Q1,Robbery,Receipts,50
2015,Q1,Jan-Mar 2015,Crown,Luton,Bedfordshire,South East,2015Q1,Robbery,Receipts,22
2015,Q1,Jan-Mar 2015,Crown,Cambridge,Cambridgeshire,South East,2015Q1,Robbery,Receipts,10
2015,Q1,Jan-Mar 2015,Crown,Peterborough,Cambridgeshire,South East,2015Q1,Robbery,Receipts,8
2015,Q1,Jan-Mar 2015,Crown,Basildon,Essex,South East,2015Q1,Robbery,Receipts,22
2015,Q1,Jan-Mar 2015,Crown,Chelmsford,Essex,South East,2015Q1,Robbery,Receipts,15
2015,Q1,Jan-Mar 2015,Crown,St Albans,Hertfordshire,South East,2015Q1,Robbery,Receipts,7
2015,Q1,Jan-Mar 2015,Crown,Canterbury,Kent,South East,2015Q1,Robbery,Receipts,14
2015,Q1,Jan-Mar 2015,Crown,Maidstone,Kent,South East,2015Q1,Robbery,Receipts,21
2015,Q1,Jan-Mar 2015,Crown,Norwich,Norfolk,South East,2015Q1,Robbery,Receipts,17
2015,Q1,Jan-Mar 2015,Crown,Ipswich,Suffolk,South East,2015Q1,Robbery,Receipts,4
2015,Q1,Jan-Mar 2015,Crown,Guildford,Surrey,South East,2015Q1,Robbery,Receipts,7
2015,Q1,Jan-Mar 2015,Crown,Chichester,Sussex,South East,2015Q1,Robbery,Receipts,5
2015,Q1,Jan-Mar 2015,Crown,Lewes,Sussex,South East,2015Q1,Robbery,Receipts,22
2015,Q1,Jan-Mar 2015,Crown,Aylesbury,Thames Valley,South East,2015Q1,Robbery,Receipts,8
